NCTId,BriefTitle,OfficialTitle,OverallStatus,Phase,StudyType,EnrollmentCount,Conditions,InterventionNames,InterventionTypes,StartDate,PrimaryCompletionDate,CompletionDate,Countries,LeadSponsor,PrimaryOutcome,BriefSummary,MatchedTargets
NCT06765876,CART123 T Cells in Relapsed or Refractory CD123+ Hematologic Malignancies: A Dose Escalation Phase I Trial,"Safety and Efficacy of Anti-CD123 Chimeric Antigen Receptor-Modified Autologous T Cells (CART123) in Patients With Relapsed/Refractory CD123+ Hematologic Malignancies: A Dose Escalation, Open-Label, Phase I Study",RECRUITING,EARLY_PHASE1,INTERVENTIONAL,18,"Leukemia, Myeloid, Acute(AML); Precursor Cell Lymphoblastic Leukemia-Lymphoma; Myelodysplastic Syndromes (MDS); Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)",Autologous CAR123 T lymphocytes,BIOLOGICAL,2024-10-23,2028-12-31,2028-12-31,Czechia,"Institute of Hematology and Blood Transfusion, Czech Republic",Safety and tolerability of autologous CART123 cells; Rate of hematological recovery; A dose of CART123 cells for further study,"Adult patients with refractory or relapsed CD123+ hematologic malignancies, including acute myeloid leukemia, myelodysplastic syndrome, acute lymphoblastic leukemia, or blastic plasmocytoid dentritic cell neoplasm will be recruited in the trial. CART123 cells will be manufatured from blood of each patient. During the production of CAR123 cells, patients may receive appropriate bridging therapy. After cells are produced, participants will undergo a single course of lymphodepleting chemotherapy and receive a single dose of CAR123 T cells. The trial will establish the recommended dose for further",CD123
NCT02623582,CD123 Redirected Autologous T Cells for AML,Pilot Study of RNA-Redirected Autologous T Cells Engineered to Contain Anti-CD123 Linked to TCR and 4-1BB Signaling Domains in Patients With Refractory or Relapsed Acute Myeloid Leukemia,TERMINATED,EARLY_PHASE1,INTERVENTIONAL,7,Relapsed or Refractory Acute Myeloid Leukemia,Autologous Anti-CD 123 CAR TCR/4-1BB-expressing T-lymphocytes; Cyclophosphamide,BIOLOGICAL; DRUG,2015-12,2016-08-26,2016-11-18,United States,University of Pennsylvania,Number of Adverse Events,"Pilot open-label study to estimate the feasibility, safety and efficacy of intravenously administered, RNA electroporated autologous T cells expressing anti-CD123 chimeric antigen receptors expressing tandem TCR and 4-1BB (TCR /4-1BB) costimulatory domains (referred to as RNA CART123) in Acute Myeloid Leukemia (AML) subjects.",CD123
NCT04106076,Phase I Study of UCART123 in Patient With Adverse Genetic Risk Acute Myeloid Leukemia,"Phase I, Open Label Dose-escalation Study to Evaluate the Safety, Expansion, Persistence and Clinical Activity of Multiple Infusions of UCART123 (Allogeneic Engineered T-cells Expressing Anti-CD123 Chimeric Antigen Receptor) in Patients With Adverse Genetic Risk Acute Myeloid Leukaemia",WITHDRAWN,PHASE1,INTERVENTIONAL,0,Acute Myeloid Leukaemia,UCART123,BIOLOGICAL,2019-07-11,2019-12-05,2019-12-05,,Cellectis S.A.,Incidence of AE/SAE/DLT [Safety and Tolerability],"This is a Phase I, open-label, dose escalation study of UCART123 administered intravenously to patients with newly diagnosed CD123 positive adverse genetic risk acute myeloid leukaemia (AML) defined in the ELN adverse genetic risk group (2017). The purpose of this study is to evaluate the safety and clinical activity of multiple infusions of UCART123 and to determine the Maximum Tolerated Dose (MTD).",CD123
NCT03114670,Donor-derived Anti-CD123-CART Cells for Recurred AML After Allo-HSCT,Donor-derived Anti-CD123 Chimeric Antigen Receptors Modified T Cells for Recurred Acute Myeloid Leukaemia After Allogeneic Hematopoietic Stem Cell Transplantation,UNKNOWN,PHASE1,INTERVENTIONAL,20,Adult Acute Myeloid Leukemia,CD123CAR-41BB-CD3zeta-EGFRt-expressing T cells,BIOLOGICAL,2017-03-25,2019-03-18,2021-03-18,China,Affiliated Hospital to Academy of Military Medical Sciences,Incidence of adverse events related to treatment as assessed by NCI CTCAE version 4.03,Patients with acute myeloid leukemia(AML) recurred after the allogeneic hematopoietic stem cell transplantation (allo-HSCT) have a dismal prognosis.The investigators developed donor-derived chimeric antigen receptor modified-T cell(CART) to target CD123 for the treatment of AML. The investigators start the Phase I study aimed to treat recurred post-transplantation AML patients using donor-derived CAR-T. The purpose of this study is to assess the safety and effectiveness of anti-CD123 CAR-T cells in patients.,CD123
NCT07432100,"Clinical Study on the Safety, Efficacy and Pharmacokinetics of Universal CLL1 Chimeric Antigen Receptor T-Cell in Relapsed/Refractory Acute Myeloid Leukemia","Clinical Study on the Safety, Efficacy and Pharmacokinetics of Universal CLL1 Chimeric Antigen Receptor T-Cell in Relapsed/Refractory Acute Myeloid Leukemia",NOT_YET_RECRUITING,PHASE1,INTERVENTIONAL,20,Acute Myeloid Leukemia; Chimeric Antigen Receptor T-cell; Universal CLL1 CAR-T,universal CLL1 CAR-T cells,BIOLOGICAL,2026-02,2028-12,2028-12-12,,Mingfeng Zhao,Bone marrow tumor burden; Overall survival time; Progression-Free-Survival,"Acute myeloid leukemia (AML) is a common type of acute leukemia in adults. Although the treatment of AML has improved in recent decades, the 5-year survival rate remains below 50% due to the chemoresistance or toxicity of these treatments. Most patients eventually die from relapse and/or progressive disease, and these patients urgently need new treatment strategies. Chimeric antigen receptor T-cell (CAR-T cell) therapy is an adoptive immunotherapy that expresses one or more specific chimeric antigen receptors (CARs) on T cells through genetic engineering, enabling them to target tumor cells. C",CLEC12A; CLL-1
NCT06128044,CRISPR-Edited Allogeneic Anti-CLL-1 CAR-T Cell Therapy in Patients With Relapsed/Refractory Acute Myeloid Leukemia,"A Phase 1, Multicenter, Open-Label Study of CB-012, a CRISPR-Edited Allogeneic Anti-CLL-1 CAR-T Cell Therapy in Patients With Relapsed/Refractory Acute Myeloid Leukemia",TERMINATED,PHASE1,INTERVENTIONAL,12,"Acute Myeloid Leukemia, in Relapse; Acute Myeloid Leukemia Refractory",CB-012,DRUG,2024-02-08,2025-05-30,2025-05-30,United States,"Caribou Biosciences, Inc.",(Part A) Number of patients with dose limiting toxicities (DLT); (Part B) Overall Response Rate (ORR),"CB-012 is an allogeneic chimeric antigen receptor (CAR-T) cell therapy that targets C-type lectin-like molecule-1 (CLL-1). This is a Phase 1 study to evaluate the safety, preliminary efficacy, and pharmacokinetics, of CB-012 (the study treatment) in adults with acute myeloid leukemia (AML) that has come back after prior treatment (relapsed) or did not respond or is no longer responding to other treatment (refractory). Participants must have received at least 1 but not more than 3 prior lines of treatment for AML .",CLEC12A; CLL-1
NCT06017258,A Study of CD371-YSNVZIL-18 CAR T Cells in People With Acute Myeloid Leukemia,Phase I Trial of CLEc12a (CD371) Targeted ArmoRed Immune Effector Cells in Patients With Relapsed/Refractory Acute Myeloid Leukemia (CLEAR-AML),RECRUITING,PHASE1,INTERVENTIONAL,15,"Refractory Acute Myeloid Leukemia; Relapsed Acute Myeloid Leukemia; Acute Myeloid Leukemia; Acute Myeloid Leukemia, in Relapse; Acute Myeloid Leukemia Refractory",CD371-specific/YSNVz/I-18 CAR T cells,BIOLOGICAL,2023-08-22,2026-08-22,2026-08-22,United States,Memorial Sloan Kettering Cancer Center,Maximum Tolerated Dose (MTD) of CAR T cells,"The purpose of this study is to find out whether CD371-YSNVZ-IL18 CAR T cells are safe, and to look for the highest dose of CD371-YSNVZ-IL18 CAR T cells that cause few or mild side effects in participants.",CLEC12A; CLL-1
NCT07342244,Safety and Efficacy of CLL1 CAR-T Followed by Allogeneic Hematopoietic Stem Cell Transplantation in the Treatment of Relapsed/Refractory Acute Myeloid Leukemia,Safety and Efficacy of CLL1 CAR-T Followed by Allogeneic Hematopoietic Stem Cell Transplantation in the Treatment of Relapsed/Refractory Acute Myeloid Leukemia,NOT_YET_RECRUITING,NA,INTERVENTIONAL,18,AML; AML (Acute Myeloid Leukemia),CLL1 CAR-T Cell Sequential Allogeneic Hematopoietic Stem Cell Transplantation,DRUG,2026-01-30,2028-12-20,2029-12-20,China,Donghua Zhang,Overall survival,"This study aims to evaluate whether an innovative combination therapy (CLL1 CAR-T sequential allogeneic hematopoietic stem cell transplantation) is safe, feasible and effective for the treatment of relapsed/refractory acute myeloid leukemia (R/R AML).",CLL-1
NCT06347458,BG1805 Injection in the Treatment of Relapsed or Refractory Acute Myeloid Leukemia in Children,"A Single-arm, Dose-escalation and Dose-expansion Phase I Clinical Study to Evaluate the Tolerability, Safety and Preliminary Efficacy of BG1805 Injection in the Treatment of Relapsed or Refractory Acute Myeloid Leukemia in Children",NOT_YET_RECRUITING,PHASE1,INTERVENTIONAL,24,Leukemia; Acute Myeloid Leukemia,BG1805,BIOLOGICAL,2024-04,2027-04,2027-08,,"Guangzhou Bio-gene Technology Co., Ltd",1.Dose Limited Toxicity Rate; 2.Incidence of Treatment-Emergent Adverse Events,"This is a single-arm, single-dose dose-escalation and dose-expansion study.",CLL-1
NCT05252572,Clinical Study of CLL1 CAR-T Cells in the Treatment of Hematological Malignancies,Clinical Study on the Safety and Effectiveness of CLL1 CAR-T Cells in the Treatment of CLL1-positive Hematological Malignancies,UNKNOWN,EARLY_PHASE1,INTERVENTIONAL,36,AML,CLL1 CAR T-cells,BIOLOGICAL,2022-02-28,2024-11-30,2024-11-30,China,Zhejiang University,Dose-limiting toxicity (DLT); Incidence of treatment-emergent adverse events (TEAEs),Clinical Study on the Safety and Effectiveness of CLL1 CAR-T Cells in the Treatment of CLL1-positive Hematological Malignancies,CLL-1
NCT06880354,A Clinical Study to Evaluate the Safety and Efficacy of CLL1 and CD38 Dual-Target CAR-T Cell Injection in the Treatment of Relapsed or Refractory Acute Myeloid Leukemia,A Clinical Study to Evaluate the Safety and Efficacy of CLL1 and CD38 Dual-Target CAR-T Cell Injection in the Treatment of Relapsed or Refractory Acute Myeloid Leukemia,RECRUITING,PHASE1,INTERVENTIONAL,37,Acute Myeloid Leukemia,CLL1 and CD38 Dual-Target CAR-T Cell Injection,DRUG,2025-05-22,2028-03-31,2028-03-31,China,"Institute of Hematology & Blood Diseases Hospital, China",Dose-Limiting Toxicity (DLT) Rate; Adverse Events （AEs）,"This is a single-arm, open-label, phase I dose-escalation clinical study to evaluate the safety and preliminary efficacy of CLL1 and CD38 dual-target CAR T cell injection in r/r AML subjects.",CLL-1; CD38
NCT04219163,Chimeric Antigen Receptor T-cells for The Treatment of AML Expressing CLL-1 Antigen,Chimeric Antigen Receptor T-cells for The Treatment of Acute Myeloid Leukemia Expressing CLL-1 Antigen,ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,18,Acute Myeloid Leukemia,CLL-1.CAR T cells,BIOLOGICAL,2020-07-09,2025-03-24,2038-07-31,United States,Baylor College of Medicine,Dose limiting toxicity (DLT) rate,"Patients eligible for this study have a type of blood cancer Acute Myeloid Leukemia (AML) which has come back or has not gone away after treatment.

The body has different ways of fighting disease and infection, and this research study combines two different ways of fighting cancer with antibodies and T cells with the hope that they will work together. T cells (also called T lymphocytes) are special infection-fighting blood cells that can kill other cells including tumor cells. Antibodies are types of proteins that protect the body from bacterial and other infectious diseases. Both antibodies ",CLL-1
NCT04789408,Study of KITE-222 in Participants With Relapsed/Refractory Acute Myeloid Leukemia,"A Phase 1 Open-label, Multicenter Study Evaluating the Safety of KITE-222, an Autologous Anti-CLL-1 CAR T-cell Therapy, in Subjects With Relapsed/Refractory Acute Myeloid Leukemia",TERMINATED,PHASE1,INTERVENTIONAL,15,Acute Myeloid Leukemia,Cyclophosphamide; Fludarabine; KITE-222,DRUG; DRUG; BIOLOGICAL,2021-07-19,2024-05-18,2024-05-18,France; United States,"Kite, A Gilead Company",Percentage of Participants Who Experienced Dose Limiting Toxicities (DLTs),"The goal of this clinical study is to learn more about the safety and dosing of the study drug, KITE-222, in participants with relapsed/refractory (r/r) acute myeloid leukemia (AML).",CLL-1
NCT05467202,Evaluate the Safety and Efficacy of CLL1 CAR-T in Patients With R/R AML,To Evaluate the Safety and Efficacy of CLL1 CAR-T in Patients With Relapsed and Refractory Acute Myeloid Leukemia,UNKNOWN,PHASE1,INTERVENTIONAL,20,AML,CLL1 CAR-T,DRUG,2022-08-01,2024-08-02,2025-08-02,China,Zhejiang University,Evaluation of Safety; Changes in cytokine level after CLL1 CAR-T infusion,"This is an open label, phase I study to assess the safety and efficacy of CLL1 CAR-T in patients with relapsed and refractory acute myeloid leukemia",CLL-1
NCT06110208,Study to Evaluate the Safety and Preliminary Efficacy of CLL1 and CD38 Dual CAR-T in r/r AML,Clinical Study to Evaluate the Safety and Preliminary Efficacy of CLL1 and CD38 Dual CAR-T Injection in the Treatment of Relapsed and Refractory Acute Myeloid Leukemia,TERMINATED,EARLY_PHASE1,INTERVENTIONAL,3,Acute Myeloid Leukemia,CLL1 and CD38 dual-target CAR-T injection,DRUG,2023-10-10,2024-07-01,2024-07-01,China,920th Hospital of Joint Logistics Support Force of People's Liberation Army of China,Dose limited toxicity (DLT);; Adverse events (AE),This study is a single-center clinical study. The main purpose is an IIT clinical trial to evaluate the safety and preliminary efficacy of CLL1 and CD38 dual CAR-T injection in r/r AML subjects . The included population were patients with relapsed and refractory acute myeloid leukemia (r/r AML) .,CLL-1; CD38
NCT04884984,Anti-CLL1 CAR T-cell Therapy in CLL1 Positive Relapsed/Refractory Acute Myeloid Leukemia (AML),Pilot Study of the Safety and Efficacy of Anti-CLL1 Chimeric Antigen Receptor Engineered T-Cells in the Treatment of CLL1 Positive Relapsed or Refractory Acute Myeloid Leukemia (AML),UNKNOWN,"PHASE1, PHASE2",INTERVENTIONAL,20,Acute Myeloid Leukemia,anti-CLL1 CART,BIOLOGICAL,2017-07-01,2022-12-31,2024-12-31,China,The First Affiliated Hospital of Soochow University,Number of Adverse Events,"This is a single center, open-label phase 1/2 study to evaluate the safety and efficacy of anti-CLL1 chimeric antigen receptor engineered T cell immunotherapy (CART) in the treatment of CLL1 positive relapsed or refractory acute myeloid leukemia.",CLL-1
NCT06680752,Clinical Study of ARD103 CAR-T Therapy for Patients With R/R AML or MDS,"A Phase 1/2, Open-label, Multicenter Trial to Assess the Safety and Efficacy of ARD103 in Patients With Relapsed or Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome",RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,49,"Acute Myeloid Leukemia, in Relapse; Acute Myeloid Leukemia Refractory; MDS (Myelodysplastic Syndrome)",ARD103; Cyclophosphamide; Fludarabine,BIOLOGICAL; DRUG; DRUG,2025-05-20,2028-10,2028-12,United States,"ARCE Therapeutics, Inc.",Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]; To determine the RP2D of ARD103; To evaluate overall response rate (ORR),"This is a phase I/2, interventional, open-label, multicenter study to assess the safety and efficacy of ARD103 in patients with relapsed or refractory acute myeloid leukemia or myelodysplastic syndrome.",CLL-1
NCT07338357,Clinical Study of CLL-1 CAR-T in the Treatment of Children With R/R AML,A Single-Center Clinical Study Evaluating the Safety and Preliminary Efficacy of CLL-1 CAR-T in the Treatment of Children With Relapsed/Refractory Acute Myeloid Leukemia,NOT_YET_RECRUITING,EARLY_PHASE1,INTERVENTIONAL,10,AML (Acute Myeloid Leukemia); CAR-T,CAR-T,BIOLOGICAL,2026-01-05,2028-10-31,2028-10-31,,First Affiliated Hospital of Guangxi Medical University,Incidence of Treatment-Related Adverse Events,A study to evaluate the safety and preliminary efficacy of CLL-1-targeted CAR-T cell therapy in children aged 3 to 18 years with relapsed or refractory acute myeloid leukemia (r/r AML).,CLL-1
NCT06307054,CLL-1 CAR-NK Cells for Relapsed/Refractory AML,The Safety and Efficacy for Anti-human CLL-1 CAR-NK Cells in Subjects With Relapsed/Refractory Acute Myeloid Leukemia,RECRUITING,PHASE1,INTERVENTIONAL,24,Relapsed Adult AML; Refractory AML,anti-CLL-1 CAR NK cells,DRUG,2024-04-01,2026-03-15,2027-03-15,China,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",AE; DLT,"This study is a single-arm, open-label, dose-escalation clinical trial aimed at exploring the safety, tolerability, and pharmacokinetic characteristics of the CLL-1 CAR NK cells, as well as providing preliminary observations on its efficacy in subjects with relapsed/refractory acute myeloid leukemia.",CLL-1
NCT07036250,Clinical Study of U32 in Patients With Acute Myeloid Leukemia,"A Single-arm, Open-label Clinical Study to Evaluate the Safety, Tolerability, and Efficacy of U32 Injection in Patients With Acute Myeloid Leukemia.",RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,20,Acute Myeloid Leukaemia,U32 CAR-T,DRUG,2025-07-03,2027-12-31,2029-12-31,China,"Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd",Incidence of Adverse events after U32CAR-T cells infusion [Safety and Tolerability],"This is a single-arm, open-label clinical study to evaluate the safety, tolerability, and efficacy of U32 injection in patients with acute myeloid leukemia.",CLL-1; CD38
NCT06118788,Phase I Clinical Study: BG1805 Injection in the Treatment of Relapsed or Refractory Acute Myeloid Leukemia,"A Single-arm, Dose-escalation and Dose-expansion Phase I Clinical Study to Evaluate the Tolerability, Safety and Preliminary Efficacy of BG1805 Injection in the Treatment of Relapsed or Refractory Acute Myeloid Leukemia",RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,24,"Leukemia, Myeloid, Acute",BG1805,BIOLOGICAL,2024-03-07,2027-03,2027-07,China,"Guangzhou Bio-gene Technology Co., Ltd",Dose Limited Toxicity Rate; Incidence of Treatment-Emergent Adverse Events,"This is a single-arm, single-dose dose-escalation and dose-expansion study.",CLL-1
NCT04923919,Clinical Study of Chimeric Antigen Receptor T Lymphocytes (CAR-T) in the Treatment of Myeloid Leukemia,Clinical Study of Chimeric Antigen Receptor T Lymphocytes (CAR-T) in the Treatment of Myeloid Leukemia,UNKNOWN,EARLY_PHASE1,INTERVENTIONAL,100,Acute Myeloid Leukemia,Anti-CLL1 CART cells,DRUG,2021-09-14,2024-12-05,2024-12-05,China,920th Hospital of Joint Logistics Support Force of People's Liberation Army of China,Incidence of AE after CAR-T infusion,"Researchers plan to enroll a total of 100 patients with relapsed, refractory acute myeloid leukemia (AML) to receive a single dose of autologous CAR T cells.The safety of CAR T therapy was evaluated by observing adverse events after cell therapy;The efficacy of CAR-T therapy was evaluated against the outcome of patients' own past standard treatment regimens or historical data.Blood and bone marrow were collected before and 12 months after infusion to detect the number and activity of CAR T cells, and to evaluate the pharmacokinetics (PK) of CAR T cells.",CLL-1
NCT05239689,Clinical Study of CD38 CAR-T Cells in the Treatment of Hematological Malignancies,Clinical Study on the Safety and Effectiveness of CD38 CAR-T Cells in the Treatment of CD38-positive Hematological Malignancies,UNKNOWN,EARLY_PHASE1,INTERVENTIONAL,36,AML,CD38 CAR T-cells,BIOLOGICAL,2022-02-28,2024-12-05,2024-12-05,China,Zhejiang University,Dose-limiting toxicity (DLT); Incidence of treatment-emergent adverse events (TEAEs),Clinical Study on the Safety and Effectiveness of CD38 CAR-T Cells in the Treatment of CD38-positive Hematological Malignancies,CD38
NCT05442580,CART-38 in Adult AML and MM Patients,Phase 1 Study of Lintivirally Transduced T Cells Engineered to Contain Anti-CD38 Linked to TCRζ and 4-1BB Signaling Domains in Subjects With Acute Myeloid Leukemia and Multiple Myeloma,TERMINATED,PHASE1,INTERVENTIONAL,11,Acute Myeloid Leukemia (AML); Multiple Myeloma (MM),3x10(6) CART-38 cellls; 7x10(5) CART-38 cells; 7x10(6) CART-38 cells; 3x10(7) CART-38 cells; Cyclophosphamide; Fludarabine,DRUG; DRUG; DRUG; DRUG; DRUG; DRUG,2023-05-30,2025-02-09,2025-02-09,United States,University of Pennsylvania,Number of Subjects with treatment related adverse events using NCI Common Terminology Criteria for Adverse Events (CTCAE) V5.0; Number of subjects with dose-limiting toxicities; Determination of maximum tolerated dose assessed by collection of adverse events as graded by CTCAE.,"This is an open-label Phase 1 study to estimate the safety and manufacturing feasibility of lentivirally transduced T cells expressing anti-CD38 chimeric antigen receptors expressing tandem TCRζ and 4-1BB (TCRζ /4-1BB) costimulatory domains in patients with Acute Myeloid Leukemia and Multiple Myeloma. This CAR T cell product will be referred to as ""CART-38 cells"".",CD38
NCT04762485,Humanized CD7 CAR T-cell Therapy for r/r CD7+ Acute Leukemia,Humanized Chimeric Antigen Receptor T Cells Against CD7 for Refractory/Relapsed CD7+ Acute Leukemia,UNKNOWN,"PHASE1, PHASE2",INTERVENTIONAL,20,T Lymphoblastic Leukemia/Lymphoma; Mixed Phenotype Acute Leukemia; Acute Myeloid Leukemia,Humanized CD7 CAR-T cells,BIOLOGICAL,2021-06-01,2023-02-28,2024-02-28,China,The First Affiliated Hospital of Soochow University,Number of Adverse Events,"This is a prospective,open-label, single center and single arm phase 1/2 study to evaluate the efficacy and safety of T cells expressing humanized CD7 chimeric antigen receptors treatment for patients with refractory/relapsed CD7 positive acute leukemia.",CD38
NCT04351022,CD38-targeted Chimeric Antigen Receptor T Cell (CART) in Relapesd or Refractory Acute Myeloid Leukemia,Pilot Study of the Efficacy and Safety of CD38 Targeted Chimeric Antigen Receptor Engineered T-Cells in the Treatment of CD38 Positive Relapsed or Refractory Acute Myeloid Leukemia (AML),UNKNOWN,"PHASE1, PHASE2",INTERVENTIONAL,20,Acute Myeloid Leukemia,CART-38,BIOLOGICAL,2017-07-01,2021-12-31,2023-12-31,China,The First Affiliated Hospital of Soochow University,Number of Adverse Events,"This is a single center, open-label phase 1/2 study to evaluate the safety and efficacy of targeted CD38 chimeric antigen receptor engineered T cell immunotherapy (CART) in the treatment of CD38 positive relapsed or refractory acute myeloid leukemia.",CD38
