NCTId,BriefTitle,OfficialTitle,OverallStatus,Phase,StudyType,EnrollmentCount,Conditions,InterventionNames,InterventionTypes,StartDate,PrimaryCompletionDate,CompletionDate,Countries,LeadSponsor,PrimaryOutcome,BriefSummary,MatchedTargets
NCT04272125,Safety and Efficacy of CD123-Targeted CAR-T Therapy for Relapsed/Refractory Acute Myeloid Leukemia,Safety and Efficacy of CD123-Targeted CAR-T Therapy for Relapsed/Refractory Acute Myeloid Leukemia,UNKNOWN,"PHASE1, PHASE2",INTERVENTIONAL,40,"Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute",CD123 CAR-T cells,BIOLOGICAL,2019-12-01,2023-12-31,2024-07-01,China,"Chongqing Precision Biotech Co., Ltd",Adverse events that related to treatment; The response rate of CD123 CAR-T treatment in patients with relapse/refractory Acute Myeloid Leukemia that treatment by CD123 CAR-T cells therapy,This is a single arm study to evaluate the efficacy and safety of CD123-targeted CAR-T cells therapy for patients with relapsed/refractory Acute Myeloid Leukemia.,CD123
NCT05457010,Phase I Study of Cell Therapies for the Treatment of Patients With Relapsed or Refractory AML or High-risk MDS,"Master Protocol for the Phase 1 Study of Cell Therapies for the Treatment of Patients With Relapsed or Refractory Acute Myeloid Leukemia or High-risk Myelodysplastic Syndrome, Including Long-term Safety Follow-up",UNKNOWN,PHASE1,INTERVENTIONAL,24,Acute Myeloid Leukemia; Myelodysplastic Syndromes,SPRX002; ARC-T Cells,BIOLOGICAL; BIOLOGICAL,2022-11-28,2025-09-30,2025-11-17,United States,"Arcellx, Inc.","Incidence of treatment-emergent adverse events (TEAEs), including dose-limiting toxicities (DLTs) and establish recommended Phase II dose (RP2D)",The purpose of this study is to evaluate the safety and preliminary activity of ARC-T cells and SPRX002 in participants with relapsed or refractory acute myeloid leukemia (AML) or high-risk myelodysplastic syndrome (MDS),CD123
NCT03190278,Study Evaluating Safety and Efficacy of UCART123v1.2 in Patients With Relapsed/Refractory Acute Myeloid Leukemia,"Phase I, Open Label Dose Escalation and Dose-Expansion Study to Evaluate the Safety, Expansion, Persistence, and Clinical Activity of UCART123 (Allogeneic Engineered T-cells Expressing Anti-CD123 Chimeric Antigen Receptor), Administered in Patients With Relapsed/Refractory Acute Myeloid Leukemia",ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,29,Relapsed/Refractory Acute Myeloid Leukemia,UCART123v1.2,BIOLOGICAL,2017-06-19,2024-12-24,2025-12,United States,Cellectis S.A.,Incidence of adverse events (AE)/serious adverse events (SAE)/Dose Limiting Toxicities (DLT) [Safety and Tolerability]; Dose escalation and expansion part: Occurrence of DLTs,"Phase I, open-label, dose-escalation and dose-expansion study evaluating the safety and efficacy of Universal Chimeric Antigen Receptor T-cell (UCART) targeting the Cluster of Differentiation 123 (CD123) in patients with relapsed/refractory acute myeloid leukemia (AML). The purpose of this study is to evaluate the safety and clinical activity of Universal Chimeric Antigen Receptor T-cells targeting CD123 (UCART123v1.2) and determine the Maximum Tolerated Dose (MTD) and Recommended Phase 2 Dose (RP2D).",CD123
NCT04678336,CD123 Redirected T Cells for AML in Pediatric Subjects,Phase 1 Study of Lentivirally Transduced T Cells Engineered to Contain Anti-CD123 Linked to TCRζ and 4-1BB Signaling Domains in Pediatric Subjects With Refractory or Relapsed Acute Myeloid Leukemia,TERMINATED,PHASE1,INTERVENTIONAL,12,"Acute Myeloid Leukemia, in Relapse; Acute Myeloid Leukemia, Pediatric; Acute Myeloid Leukemia, Refractory",CART123 cells; cyclophosphamide; fludarabine,BIOLOGICAL,2021-04-02,2025-05-09,2025-05-09,United States,University of Pennsylvania,Evaluate the safety of CART123 in AML subjects,"Phase 1 open-label study to evaluate the safety of intravenously administered, lentivirally transduced T cells expressing anti-CD123 chimeric antigen receptors expressing tandem TCRζ and 4-1BB (TCRζ /4-1BB) costimulatory domains in pediatric subjects with relapsed/refractory Acute Myeloid Leukemia (AML).",CD123
NCT07201727,CD123+CLL-1 CAR-T Sequential Infusion With CD7 CAR-T and Bridging to Allo-HSCT for Relapsed/Refractory Acute Myeloid Leukemia,Early Clinical Study of CD123+CLL-1 Dual-target CAR-T Cells Sequential Infusion CD7 CAR-T Cells and Bridging to Allogeneic Hematopoietic Stem Cell Transplantation for the Treatment of Relapsed and Refractory Acute Myeloid Leukemia,NOT_YET_RECRUITING,EARLY_PHASE1,INTERVENTIONAL,10,AML - Acute Myeloid Leukemia,CD123+CLL-1 dual-target CAR-T cells sequential infusion CD7 CAR-T cells and bridging to allogeneic,BIOLOGICAL,2025-09-30,2028-05-01,2028-07-01,,"Institute of Hematology & Blood Diseases Hospital, China",Monitor and record adverse events,"This study is a single-arm, open-label, prospective clinical trial, with patients suffering from refractory and relapsed acute myeloid leukemia as the subjects. It plans to enroll 10 cases to evaluate the safety and efficacy of sequential CD123+CLL-1 CAR-T cells followed by CD7 CAR-T cells treatment.",CD123; CLL-1
NCT03585517,Safety and Efficacy Evaluation of IM23 CAR-T Cells (IM23CAR-T),Safety and Efficacy Evaluation of IM23 CAR-T Cells On CD123+ AML Patients,COMPLETED,PHASE1,INTERVENTIONAL,10,AML,IM23,DRUG,2018-07-21,2020-08-01,2020-10-01,China,"Beijing Immunochina Medical Science & Technology Co., Ltd.",Occurrence of study related adverse events,Assessment of the Safety and Feasibility of Administering T Cells Expressing an Anti-CD123 Chimeric Antigen Receptor to Patients With CD123+ AML,CD123
NCT03556982,CART-123 FOR Relapsed/Refractory Acute Myelocytic Leukemia（AML）,CD123-Targeted CAR-T in Treating Patients With Relapsed/Refractory Acute Myelocytic Leukemia（AML）,UNKNOWN,"PHASE1, PHASE2",INTERVENTIONAL,10,"Leukemia, Myeloid, Acute",CART-123 cells,BIOLOGICAL,2018-03-01,2019-03-01,2020-03-01,China,The Affiliated Hospital of the Chinese Academy of Military Medical Sciences,Dose-limiting toxicity; Incidence of adverse events as assessed; Disease response (CR or CRi),The purpose of this study is to evaluate the safety and efficiency of CD123-Targeted CAR-T in Treating Patients with relapsed/refractory AML,CD123
NCT04599543,IL3 CAR-T Cell Therapy for Patients With CD123 Positive Relapsed and/or Refractory Acute Myeloid Leukemia,Clinical Trial for the Safety and Efficacy of IL3 CAR-T Cell Therapy for Patients With CD123 Positive Relapsed and/or Refractory Acute Myeloid Leukemia,NOT_YET_RECRUITING,EARLY_PHASE1,INTERVENTIONAL,36,Acute Myeloid Leukemia,IL3 CAR T-cells,DRUG,2020-11-15,2023-11-15,2026-11-15,China,Zhejiang University,Dose-limiting toxicity (DLT); Incidence of treatment-emergent adverse events (TEAEs),A Study of IL3 CAR-T Cell Therapy for Patients With CD123 Positive Relapsed and/or Refractory Acute Myeloid Leukemia.,CD123
NCT06125652,Administration of Anti Tim-3/CD123 CAR-T Cell Therapy in Relapsed and Refractory Acute Myeloid Leukemia (rr/AML),Application of Anti Tim-3/CD123 CAR-T Cell Therapy in Relapsed and Refractory Acute Myeloid Leukemia (rr/AML),RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,20,"Acute Myeloid Leukemia Refractory; Acute Myeloid Leukemia, in Relapse",anti Tim-3/CD123 CAR-T cell therapy,DRUG,2023-11-04,2026-01-01,2027-01-01,China,Xuzhou Medical University,Dose-limiting toxicity #DLT#,To evaluate the safety and efficacy of anti Tim3/CD123 CAR-T cells in the treatment of relapsed and refractory acute myeloid leukemia.,CD123
NCT03796390,Study Evaluating Safety and Efficacy of CAR-T Cells Targeting CD123 in Patients With Acute Myelocytic Leukemia,Study Evaluating Safety and Efficacy of CAR-T Cells Targeting CD123 in Patients With Acute Myelocytic Leukemia,UNKNOWN,PHASE1,INTERVENTIONAL,15,Acute Myelocytic Leukemia,CD123 CAR-T cells,BIOLOGICAL,2018-12-26,2020-11-06,2021-06-06,China,"Hebei Senlang Biotechnology Inc., Ltd.",Tumor load,"This is an open, single-arm, phase I clinical study to evaluate efficacy and safety of chimeric antigen receptor T cell immunotherapy (CAR-T) targeting CD123 in the treatment of Acute Myelocytic Leukemia. A total of 15 patients are planned to be enrolled following up one year.",CD123
